Uid,Sentiment
1,negative
2,negative
3,positive
4,positive
5,positive
6,negative
7,neutral
8,neutral
9,neutral
10,positive
11,positive
12,positive
13,negative
14,neutral
15,neutral
16,negative
17,positive
18,positive
19,negative
20,negative
21,positive
22,neutral
23,negative
24,positive
25,negative
26,negative
27,positive
28,negative
29,negative
30,neutral
31,neutral
32,positive
33,positive
34,positive
35,positive
36,positive
37,negative
38,negative
39,neutral
40,positive
41,negative
42,positive
43,positive
44,positive
45,neutral
46,positive
47,neutral
48,neutral
49,neutral
50,positive
51,positive
52,negative
53,positive
54,positive
55,positive
56,positive
57,negative
58,negative
59,positive
60,positive
61,positive
62,positive
63,positive
64,positive
65,positive
66,positive
67,neutral
68,negative
69,positive
70,positive
71,neutral
72,positive
73,positive
74,positive
75,positive
76,neutral
77,negative
78,neutral
79,neutral
80,negative
81,positive
82,negative
83,positive
84,positive
85,negative
86,negative
87,negative
88,positive
89,neutral
90,positive
91,negative
92,negative
93,positive
94,negative
95,negative
96,positive
97,negative
98,positive
99,neutral
100,positive
101,neutral
102,positive
103,positive
104,positive
105,positive
106,positive
107,positive
108,neutral
109,positive
110,positive
111,neutral
112,positive
113,positive
114,positive
115,negative
116,neutral
117,positive
118,positive
119,positive
120,positive
121,positive
122,neutral
123,positive
124,negative
125,positive
126,positive
127,negative
128,neutral
129,negative
130,negative
131,negative
132,positive
133,positive
134,neutral
135,negative
136,negative
137,positive
138,negative
139,positive
140,positive
141,positive
142,positive
143,positive
144,positive
145,positive
146,positive
147,negative
148,negative
149,negative
150,neutral
151,positive
152,positive
153,negative
154,negative
155,positive
156,neutral
157,negative
158,negative
159,negative
160,negative
161,neutral
162,negative
163,positive
164,negative
165,negative
166,positive
167,positive
168,positive
169,negative
170,positive
171,negative
172,negative
173,negative
174,positive
175,neutral
176,neutral
177,neutral
178,positive
179,positive
180,positive
181,positive
182,positive
183,negative
184,positive
185,negative
186,positive
187,positive
188,positive
189,negative
190,neutral
191,neutral
192,positive
193,negative
194,negative
195,negative
196,negative
197,neutral
198,positive
199,negative
200,neutral
201,positive
202,positive
203,negative
204,positive
205,positive
206,neutral
207,negative
208,negative
209,positive
210,neutral
211,positive
212,neutral
213,neutral
214,negative
215,positive
216,positive
217,negative
218,negative
219,positive
220,neutral
221,neutral
222,neutral
223,positive
224,negative
225,positive
226,positive
227,positive
228,negative
229,positive
230,negative
231,positive
232,negative
233,positive
234,positive
235,positive
236,neutral
237,positive
238,neutral
239,negative
240,positive
241,negative
242,neutral
243,positive
244,neutral
245,negative
246,positive
247,neutral
248,neutral
249,negative
250,negative
251,positive
252,neutral
253,neutral
254,positive
255,positive
256,positive
257,positive
258,negative
259,negative
260,positive
261,neutral
262,neutral
263,positive
264,neutral
265,positive
266,neutral
267,negative
268,neutral
269,neutral
270,positive
271,negative
272,positive
273,neutral
274,negative
275,neutral
276,positive
277,positive
278,negative
279,neutral
280,negative
281,neutral
282,negative
283,positive
284,positive
285,positive
286,positive
287,positive
288,negative
289,neutral
290,positive
291,positive
292,positive
293,positive
294,positive
295,positive
296,positive
297,negative
298,positive
299,neutral
300,negative
301,positive
302,negative
303,positive
304,positive
305,neutral
306,positive
307,neutral
308,positive
309,positive
310,positive
311,positive
312,positive
313,negative
314,positive
315,neutral
316,positive
317,positive
318,positive
319,positive
320,positive
321,negative
322,positive
323,neutral
324,neutral
325,negative
326,positive
327,positive
328,positive
329,positive
330,positive
331,neutral
332,neutral
333,negative
334,positive
335,neutral
336,positive
337,positive
338,positive
339,positive
340,positive
341,positive
342,positive
343,positive
344,positive
345,positive
346,neutral
347,neutral
348,positive
349,neutral
350,neutral
351,negative
352,neutral
353,negative
354,neutral
355,positive
356,positive
357,negative
358,positive
359,positive
360,negative
361,positive
362,negative
363,neutral
364,negative
365,neutral
366,negative
367,neutral
368,neutral
369,positive
370,positive
371,neutral
372,neutral
373,neutral
374,positive
375,positive
376,positive
377,neutral
378,positive
379,positive
380,positive
381,positive
382,neutral
383,neutral
384,neutral
385,positive
386,positive
387,positive
388,positive
389,neutral
390,neutral
391,neutral
392,neutral
393,negative
394,positive
395,neutral
396,neutral
397,positive
398,positive
399,neutral
400,positive
401,positive
402,negative
403,positive
404,positive
405,neutral
406,positive
407,neutral
408,neutral
409,positive
410,neutral
411,positive
412,neutral
413,neutral
414,neutral
415,positive
416,positive
417,negative
418,positive
419,neutral
420,negative
421,neutral
422,neutral
423,negative
424,positive
425,positive
426,positive
427,positive
428,positive
429,neutral
430,positive
431,neutral
432,positive
433,neutral
434,positive
435,positive
436,negative
437,negative
438,neutral
439,positive
440,positive
441,neutral
442,neutral
443,positive
444,neutral
445,neutral
446,positive
447,neutral
448,positive
449,positive
450,negative
451,neutral
452,negative
453,negative
454,negative
455,positive
456,neutral
457,neutral
458,positive
459,neutral
460,neutral
461,neutral
462,neutral
463,positive
464,negative
465,neutral
466,neutral
467,neutral
468,neutral
469,positive
470,neutral
471,positive
472,positive
473,positive
474,neutral
475,neutral
476,positive
477,positive
478,positive
479,positive
480,neutral
481,neutral
482,neutral
483,negative
484,negative
485,positive
486,neutral
487,positive
488,neutral
489,negative
490,positive
491,positive
492,neutral
493,neutral
494,neutral
495,positive
496,neutral
497,positive
498,neutral
499,neutral
500,neutral
501,positive
502,positive
503,neutral
504,positive
505,negative
506,neutral
507,neutral
508,neutral
509,negative
510,positive
511,neutral
512,neutral
513,neutral
514,negative
515,negative
516,neutral
517,positive
518,positive
519,neutral
520,negative
521,positive
522,positive
523,negative
524,positive
525,positive
526,positive
527,positive
528,positive
529,negative
530,neutral
531,positive
532,neutral
533,positive
534,positive
535,positive
536,positive
537,neutral
538,neutral
539,negative
540,positive
541,positive
542,neutral
543,positive
544,positive
545,neutral
546,positive
547,positive
548,positive
549,neutral
550,neutral
551,positive
552,negative
553,positive
554,negative
555,neutral
556,positive
557,positive
558,positive
559,positive
560,positive
561,neutral
562,negative
563,neutral
564,neutral
565,positive
566,neutral
567,positive
568,negative
569,positive
570,positive
571,neutral
572,positive
573,negative
574,neutral
575,positive
576,positive
577,neutral
578,neutral
579,neutral
580,neutral
581,positive
582,positive
583,positive
584,negative
585,positive
586,positive
587,positive
588,neutral
589,neutral
590,positive
591,neutral
592,positive
593,positive
594,negative
595,positive
596,neutral
597,positive
598,positive
599,neutral
600,positive
601,neutral
602,negative
603,positive
604,positive
605,positive
606,positive
607,neutral
608,positive
609,positive
610,negative
611,positive
612,positive
613,positive
614,positive
615,neutral
616,positive
617,positive
618,negative
619,positive
620,positive
621,neutral
622,positive
623,positive
624,positive
625,positive
626,positive
627,positive
628,positive
629,positive
630,neutral
631,negative
632,positive
633,positive
634,positive
635,negative
636,negative
637,positive
638,positive
639,negative
640,negative
641,positive
642,positive
643,negative
644,positive
645,negative
646,positive
647,neutral
648,positive
649,negative
650,positive
651,positive
652,positive
653,positive
654,positive
655,positive
656,positive
657,positive
658,positive
659,positive
660,neutral
661,positive
662,neutral
663,neutral
664,neutral
665,neutral
666,positive
667,positive
668,positive
669,positive
670,neutral
671,positive
672,positive
673,positive
674,positive
675,positive
676,positive
677,positive
678,positive
679,positive
680,positive
681,neutral
682,positive
683,negative
684,positive
685,positive
686,neutral
687,positive
688,positive
689,positive
690,positive
691,positive
692,negative
693,positive
694,positive
695,positive
696,positive
697,positive
698,positive
699,positive
700,positive
701,neutral
702,positive
703,positive
704,positive
705,positive
706,positive
707,positive
708,positive
709,neutral
710,neutral
711,negative
712,positive
713,neutral
714,neutral
715,positive
716,positive
717,positive
718,positive
719,positive
720,positive
721,positive
722,positive
723,positive
724,positive
725,neutral
726,positive
727,positive
728,positive
729,negative
730,positive
731,positive
732,positive
733,positive
734,positive
735,positive
736,positive
737,positive
738,negative
739,positive
740,positive
741,positive
742,positive
743,positive
744,positive
745,positive
746,positive
747,positive
748,positive
749,neutral
750,neutral
751,neutral
752,positive
753,positive
754,positive
755,negative
756,neutral
757,positive
758,positive
759,positive
760,positive
761,positive
762,positive
763,positive
764,positive
765,neutral
766,positive
767,positive
768,positive
769,neutral
770,positive
771,positive
772,positive
773,neutral
774,positive
775,positive
776,positive
777,positive
778,neutral
779,negative
780,positive
781,positive
782,positive
783,positive
784,positive
785,positive
786,neutral
787,positive
788,positive
789,positive
790,positive
791,positive
792,positive
793,positive
794,positive
795,positive
796,positive
797,neutral
798,positive
799,neutral
800,neutral
801,positive
802,positive
803,positive
804,positive
805,neutral
806,positive
807,negative
808,positive
809,positive
810,neutral
811,positive
812,neutral
813,positive
814,neutral
815,positive
816,positive
817,positive
818,positive
819,positive
820,positive
821,positive
822,positive
823,negative
824,neutral
825,positive
826,positive
827,positive
828,neutral
829,positive
830,positive
831,positive
832,neutral
833,positive
834,positive
835,positive
836,positive
837,positive
838,positive
839,positive
840,positive
841,positive
842,positive
843,positive
844,positive
845,positive
846,positive
847,positive
848,neutral
849,positive
850,positive
851,positive
852,positive
853,positive
854,neutral
855,positive
856,positive
857,positive
858,positive
859,neutral
860,positive
861,positive
862,positive
863,neutral
864,positive
865,positive
866,positive
867,neutral
868,positive
869,positive
870,neutral
871,positive
872,neutral
873,positive
874,positive
875,positive
876,positive
877,positive
878,positive
879,positive
880,negative
881,positive
882,neutral
883,positive
884,positive
885,positive
886,positive
887,positive
888,positive
889,positive
890,positive
891,negative
892,positive
893,neutral
894,negative
895,neutral
896,positive
897,positive
898,positive
899,neutral
900,positive
901,positive
902,negative
903,positive
904,positive
905,positive
906,positive
907,neutral
908,positive
909,positive
910,negative
911,positive
912,positive
913,neutral
914,positive
915,positive
916,positive
917,neutral
918,neutral
919,positive
920,positive
921,neutral
922,neutral
923,positive
924,positive
925,negative
926,negative
927,positive
928,positive
929,positive
930,positive
931,positive
932,positive
933,positive
934,positive
935,positive
936,positive
937,positive
938,positive
939,positive
940,positive
941,positive
942,negative
943,positive
944,positive
945,positive
946,positive
947,positive
948,neutral
949,positive
950,neutral
951,positive
952,positive
953,positive
954,positive
955,neutral
956,positive
957,neutral
958,positive
959,positive
960,positive
961,positive
962,positive
963,positive
964,positive
965,positive
966,neutral
967,positive
968,neutral
969,neutral
970,positive
971,positive
972,positive
973,positive
974,positive
975,positive
976,neutral
977,positive
978,positive
979,positive
980,positive
981,positive
982,positive
983,positive
984,positive
985,positive
986,negative
987,neutral
988,positive
989,positive
990,positive
991,neutral
992,neutral
993,positive
994,positive
995,positive
996,neutral
997,positive
998,neutral
999,positive
1000,neutral
1001,positive
1002,positive
1003,positive
1004,neutral
1005,positive
1006,positive
1007,positive
1008,positive
1009,positive
1010,neutral
1011,positive
1012,positive
1013,positive
1014,positive
1015,positive
1016,positive
1017,positive
1018,negative
1019,positive
1020,negative
1021,positive
1022,positive
1023,positive
1024,positive
1025,positive
1026,positive
1027,neutral
1028,positive
1029,neutral
1030,positive
1031,positive
1032,positive
1033,neutral
1034,positive
1035,positive
1036,positive
1037,neutral
1038,neutral
1039,positive
1040,neutral
1041,positive
1042,positive
1043,neutral
1044,positive
1045,negative
1046,positive
1047,positive
1048,positive
1049,positive
1050,positive
1051,neutral
1052,negative
1053,positive
1054,positive
1055,neutral
1056,neutral
1057,neutral
1058,positive
1059,positive
1060,positive
1061,positive
1062,positive
1063,neutral
1064,neutral
1065,positive
1066,positive
1067,positive
1068,positive
1069,positive
1070,neutral
1071,positive
1072,positive
1073,positive
1074,positive
1075,neutral
1076,positive
1077,positive
1078,positive
1079,negative
1080,positive
1081,positive
1082,positive
1083,positive
1084,positive
1085,positive
1086,positive
1087,positive
1088,neutral
1089,positive
1090,positive
1091,positive
1092,positive
1093,positive
1094,negative
1095,positive
1096,positive
1097,positive
1098,positive
1099,positive
1100,positive
1101,positive
1102,positive
1103,positive
1104,positive
1105,positive
1106,neutral
1107,positive
1108,positive
1109,positive
1110,positive
1111,positive
1112,positive
1113,positive
1114,neutral
1115,positive
1116,positive
1117,positive
1118,positive
1119,positive
1120,positive
1121,positive
1122,neutral
1123,positive
1124,positive
1125,neutral
1126,neutral
1127,positive
1128,positive
1129,positive
1130,positive
1131,positive
1132,positive
1133,positive
1134,positive
1135,positive
1136,positive
1137,negative
1138,positive
1139,neutral
1140,neutral
1141,positive
1142,positive
1143,positive
1144,positive
1145,positive
1146,positive
1147,positive
1148,negative
1149,positive
1150,positive
1151,positive
1152,positive
1153,positive
1154,positive
1155,negative
1156,positive
1157,neutral
1158,positive
1159,negative
1160,positive
1161,neutral
1162,positive
1163,positive
1164,positive
1165,positive
1166,positive
1167,positive
1168,positive
1169,neutral
1170,positive
1171,positive
1172,positive
1173,neutral
1174,neutral
1175,positive
1176,positive
1177,neutral
1178,positive
1179,neutral
1180,positive
1181,positive
1182,positive
1183,neutral
1184,positive
1185,neutral
1186,positive
1187,neutral
1188,positive
1189,positive
1190,positive
1191,positive
1192,neutral
1193,positive
1194,positive
1195,neutral
1196,positive
1197,negative
1198,negative
1199,positive
1200,negative
1201,positive
1202,positive
1203,positive
1204,positive
1205,neutral
1206,positive
1207,positive
1208,positive
1209,positive
1210,neutral
1211,positive
1212,positive
1213,neutral
1214,positive
1215,positive
1216,positive
1217,neutral
1218,positive
1219,positive
1220,positive
1221,positive
1222,positive
1223,positive
1224,positive
1225,positive
1226,positive
1227,positive
1228,positive
1229,positive
1230,positive
1231,positive
1232,neutral
1233,positive
1234,positive
1235,positive
1236,neutral
1237,positive
1238,positive
1239,negative
1240,positive
1241,positive
1242,positive
1243,positive
1244,positive
1245,neutral
1246,positive
1247,neutral
1248,positive
1249,positive
1250,positive
1251,positive
1252,positive
1253,neutral
1254,positive
1255,positive
1256,positive
1257,positive
1258,positive
1259,positive
1260,positive
1261,neutral
1262,neutral
1263,neutral
1264,neutral
1265,positive
1266,positive
1267,neutral
1268,positive
1269,positive
1270,positive
1271,positive
1272,positive
1273,positive
1274,positive
1275,neutral
1276,positive
1277,positive
1278,positive
1279,positive
1280,negative
1281,positive
1282,positive
1283,positive
1284,positive
1285,positive
1286,positive
1287,positive
1288,neutral
1289,positive
1290,positive
1291,positive
1292,positive
1293,neutral
1294,positive
1295,positive
1296,neutral
1297,positive
1298,neutral
1299,positive
1300,positive
1301,positive
1302,positive
1303,neutral
1304,positive
1305,positive
1306,positive
1307,positive
1308,positive
1309,positive
1310,positive
1311,positive
1312,positive
1313,neutral
1314,positive
1315,positive
1316,positive
1317,positive
1318,positive
1319,positive
1320,positive
1321,neutral
1322,positive
1323,positive
1324,neutral
1325,positive
1326,positive
1327,positive
1328,neutral
1329,neutral
1330,positive
1331,positive
1332,positive
1333,positive
1334,positive
1335,negative
1336,positive
1337,positive
1338,neutral
1339,positive
1340,positive
1341,neutral
1342,positive
1343,positive
1344,positive
1345,positive
1346,positive
1347,neutral
1348,positive
1349,positive
1350,neutral
1351,positive
1352,negative
1353,positive
1354,neutral
1355,positive
1356,positive
1357,positive
1358,positive
1359,negative
1360,neutral
1361,positive
1362,positive
1363,positive
1364,positive
1365,positive
1366,positive
1367,negative
1368,neutral
1369,positive
1370,positive
1371,positive
1372,neutral
1373,positive
1374,positive
1375,neutral
1376,neutral
1377,neutral
1378,positive
1379,positive
1380,neutral
1381,positive
1382,positive
1383,positive
1384,positive
1385,negative
1386,neutral
1387,negative
1388,neutral
1389,positive
1390,positive
1391,positive
1392,neutral
1393,positive
1394,positive
1395,positive
1396,positive
1397,positive
1398,neutral
1399,neutral
1400,neutral
1401,positive
1402,positive
1403,positive
1404,positive
1405,positive
1406,positive
1407,positive
1408,positive
1409,positive
1410,positive
1411,positive
1412,positive
1413,positive
1414,positive
1415,neutral
1416,neutral
1417,positive
1418,positive
1419,positive
1420,positive
1421,positive
1422,positive
1423,positive
1424,negative
1425,positive
1426,positive
1427,negative
1428,positive
1429,positive
1430,positive
1431,positive
1432,positive
1433,positive
1434,positive
1435,positive
1436,positive
1437,positive
1438,positive
1439,positive
1440,positive
1441,positive
1442,neutral
1443,positive
1444,positive
1445,neutral
1446,positive
1447,neutral
1448,positive
1449,positive
1450,positive
1451,negative
1452,positive
1453,positive
1454,neutral
1455,positive
1456,neutral
1457,positive
1458,positive
1459,positive
1460,neutral
1461,neutral
1462,positive
1463,negative
1464,neutral
1465,positive
1466,positive
1467,positive
1468,positive
1469,positive
1470,positive
1471,positive
1472,neutral
1473,positive
1474,positive
1475,positive
1476,positive
1477,neutral
1478,positive
1479,positive
1480,positive
1481,positive
1482,positive
1483,positive
1484,positive
1485,neutral
1486,positive
1487,neutral
1488,positive
1489,positive
1490,neutral
1491,positive
1492,positive
1493,positive
1494,neutral
1495,negative
1496,neutral
1497,neutral
1498,positive
1499,positive
1500,negative
1501,positive
1502,positive
1503,positive
1504,positive
1505,neutral
1506,positive
1507,positive
1508,positive
1509,positive
1510,positive
1511,positive
1512,positive
1513,positive
1514,neutral
1515,neutral
1516,positive
1517,positive
1518,negative
1519,neutral
1520,positive
1521,positive
1522,positive
1523,positive
1524,positive
1525,positive
1526,positive
1527,positive
1528,positive
1529,neutral
1530,neutral
1531,neutral
1532,positive
1533,positive
1534,positive
1535,positive
1536,positive
1537,positive
1538,positive
1539,positive
1540,neutral
1541,positive
1542,neutral
1543,positive
1544,positive
1545,positive
1546,positive
1547,positive
1548,negative
1549,positive
1550,positive
1551,positive
1552,positive
1553,neutral
1554,neutral
1555,positive
1556,positive
1557,positive
1558,positive
1559,neutral
1560,positive
1561,positive
1562,positive
1563,positive
1564,positive
1565,positive
1566,neutral
1567,neutral
1568,neutral
1569,neutral
1570,negative
1571,positive
1572,positive
1573,neutral
1574,positive
1575,positive
1576,positive
1577,positive
1578,positive
1579,positive
1580,positive
1581,positive
1582,neutral
1583,positive
1584,neutral
1585,positive
1586,positive
1587,positive
1588,positive
1589,neutral
1590,positive
1591,positive
1592,positive
1593,positive
1594,positive
1595,positive
1596,neutral
1597,positive
1598,positive
1599,positive
1600,positive
1601,positive
1602,neutral
1603,positive
1604,neutral
1605,positive
1606,positive
1607,positive
1608,negative
1609,neutral
1610,positive
1611,negative
1612,neutral
1613,positive
1614,positive
1615,neutral
1616,positive
1617,positive
1618,positive
1619,positive
1620,positive
1621,neutral
1622,positive
1623,neutral
1624,neutral
1625,positive
1626,positive
1627,positive
1628,positive
1629,positive
1630,positive
1631,positive
1632,positive
1633,neutral
1634,positive
1635,positive
1636,neutral
1637,positive
1638,positive
1639,positive
1640,positive
1641,positive
1642,positive
1643,positive
1644,neutral
1645,positive
1646,neutral
1647,positive
1648,neutral
1649,neutral
1650,neutral
1651,positive
1652,positive
1653,positive
1654,positive
1655,positive
1656,positive
1657,positive
1658,positive
1659,positive
1660,positive
1661,positive
1662,positive
1663,positive
1664,positive
1665,positive
1666,positive
1667,positive
1668,positive
1669,positive
1670,positive
1671,positive
1672,positive
1673,neutral
1674,neutral
1675,positive
1676,positive
1677,negative
1678,positive
1679,positive
1680,neutral
1681,positive
1682,positive
1683,positive
1684,positive
1685,positive
1686,positive
1687,positive
1688,positive
1689,neutral
1690,positive
1691,positive
1692,positive
1693,positive
1694,neutral
1695,positive
1696,negative
1697,positive
1698,positive
1699,neutral
1700,positive
1701,positive
1702,negative
1703,positive
1704,positive
1705,neutral
1706,positive
1707,negative
1708,positive
1709,positive
1710,positive
1711,positive
1712,positive
1713,positive
1714,positive
1715,positive
1716,positive
1717,positive
1718,positive
1719,neutral
1720,neutral
1721,neutral
1722,positive
1723,positive
1724,neutral
1725,positive
1726,positive
1727,neutral
1728,positive
1729,positive
1730,positive
1731,positive
1732,neutral
1733,positive
1734,neutral
1735,positive
1736,positive
1737,neutral
1738,positive
1739,negative
1740,positive
1741,positive
1742,positive
1743,positive
1744,positive
1745,positive
1746,positive
1747,positive
1748,positive
1749,negative
1750,positive
1751,positive
1752,neutral
1753,negative
1754,positive
1755,neutral
1756,neutral
1757,negative
1758,neutral
1759,positive
1760,positive
1761,positive
1762,positive
1763,neutral
1764,positive
1765,positive
1766,positive
1767,neutral
1768,positive
1769,neutral
1770,positive
1771,positive
1772,positive
1773,positive
1774,positive
1775,positive
1776,neutral
1777,negative
1778,positive
1779,positive
1780,positive
1781,neutral
1782,positive
1783,neutral
1784,positive
1785,positive
1786,neutral
1787,positive
1788,positive
1789,negative
1790,positive
1791,neutral
1792,positive
1793,positive
1794,positive
1795,negative
1796,negative
1797,positive
1798,positive
1799,positive
1800,positive
1801,neutral
1802,neutral
1803,positive
1804,positive
1805,positive
1806,positive
1807,positive
1808,neutral
1809,positive
1810,positive
1811,positive
1812,positive
1813,positive
1814,positive
1815,positive
1816,positive
1817,positive
1818,positive
1819,positive
1820,negative
1821,positive
1822,positive
1823,positive
1824,positive
1825,positive
1826,positive
1827,positive
1828,positive
1829,positive
1830,positive
1831,positive
1832,negative
1833,positive
1834,positive
1835,positive
1836,positive
1837,positive
1838,positive
1839,positive
1840,positive
1841,positive
1842,neutral
1843,positive
1844,neutral
1845,positive
1846,positive
1847,positive
1848,positive
1849,positive
1850,positive
1851,positive
1852,positive
1853,neutral
1854,positive
1855,positive
1856,positive
1857,positive
1858,positive
1859,neutral
1860,positive
1861,neutral
1862,positive
1863,negative
1864,positive
1865,positive
1866,positive
1867,positive
1868,positive
1869,positive
1870,positive
1871,positive
1872,positive
1873,neutral
1874,positive
1875,neutral
1876,positive
1877,neutral
1878,positive
1879,neutral
1880,positive
1881,positive
1882,positive
1883,positive
1884,neutral
1885,negative
1886,positive
1887,neutral
1888,positive
1889,positive
1890,positive
1891,positive
1892,positive
1893,positive
1894,neutral
1895,positive
1896,positive
1897,positive
1898,neutral
1899,positive
1900,positive
1901,neutral
1902,positive
1903,positive
1904,positive
1905,positive
1906,positive
1907,positive
1908,neutral
1909,positive
1910,positive
1911,positive
1912,positive
1913,neutral
1914,positive
1915,neutral
